;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
120.01499999999999 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 -113.29500000000015 -1.5707963267948966 flow_0_0 0 5.0 2.0,153.34500000000004 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,253.335 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,53.354999999999908 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,197.78500000000003 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -291.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-208.89499999999999 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -253.335 1.5707963267948966 flow_9_0 0 5.0 2.0,-175.565 -4.5 0.0 flow_4_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
108.90499999999997 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 -124.40500000000015 -1.5707963267948966 flow_0_0 0 5.0 2.0,142.235 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,242.225 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,42.24499999999989 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,186.675 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -284.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-197.78500000000003 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -242.225 1.5707963267948966 flow_9_0 0 5.0 2.0,-164.455 -4.5 0.0 flow_4_0 0 5.0 2.0,-242.225 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
97.79499999999996 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 -135.51500000000017 -1.5707963267948966 flow_0_0 0 5.0 2.0,131.125 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,231.115 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,31.134999999999878 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-299.0 -1.5 0.0 flow_12_0 0 5.0 2.0,175.565 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -275.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_11_0 0 5.0 2.0,-186.675 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -231.115 1.5707963267948966 flow_9_0 0 5.0 2.0,-153.34500000000004 -4.5 0.0 flow_4_0 0 5.0 2.0,-231.115 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
86.68499999999995 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 -146.62500000000015 -1.5707963267948966 flow_0_0 0 5.0 2.0,120.01499999999999 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,220.005 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,21.87666666666655 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -299.0 1.5707963267948966 flow_13_0 0 5.0 2.0,-296.0 -1.5 0.0 flow_12_0 0 5.0 2.0,164.455 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -264.445 1.5707963267948966 flow_10_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_11_0 0 5.0 2.0,-175.565 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -220.005 1.5707963267948966 flow_9_0 0 5.0 2.0,-142.235 -4.5 0.0 flow_4_0 0 5.0 2.0,-220.005 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
75.57499999999993 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 -157.73500000000014 -1.5707963267948966 flow_0_0 0 5.0 2.0,108.90499999999997 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,208.89499999999999 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,15.704444444444335 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -296.0 1.5707963267948966 flow_13_0 0 5.0 2.0,-291.0 -1.5 0.0 flow_12_0 0 5.0 2.0,153.34500000000004 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -253.335 1.5707963267948966 flow_10_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_11_0 0 5.0 2.0,-164.455 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -208.89499999999999 1.5707963267948966 flow_9_0 0 5.0 2.0,-131.125 -4.5 0.0 flow_4_0 0 5.0 2.0,-208.89499999999999 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
64.46499999999992 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 -168.84500000000015 -1.5707963267948966 flow_0_0 0 5.0 2.0,97.79499999999996 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_14_0 0 5.0 2.0,197.78500000000003 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,12.001111111111016 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -291.0 1.5707963267948966 flow_13_0 0 5.0 2.0,-284.0 -1.5 0.0 flow_12_0 0 5.0 2.0,142.235 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -242.225 1.5707963267948966 flow_10_0 0 5.0 2.0,-284.0 -4.5 0.0 flow_11_0 0 5.0 2.0,-153.34500000000004 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -197.78500000000003 1.5707963267948966 flow_9_0 0 5.0 2.0,-120.01499999999999 -4.5 0.0 flow_4_0 0 5.0 2.0,-197.78500000000003 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
53.354999999999908 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 -179.95500000000016 -1.5707963267948966 flow_0_0 0 5.0 2.0,86.68499999999995 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_14_0 0 5.0 2.0,186.675 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -284.0 1.5707963267948966 flow_13_0 0 5.0 2.0,-275.0 -1.5 0.0 flow_12_0 0 5.0 2.0,131.125 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -231.115 1.5707963267948966 flow_10_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_11_0 0 5.0 2.0,-142.235 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -186.675 1.5707963267948966 flow_9_0 0 5.0 2.0,-108.90499999999997 -4.5 0.0 flow_4_0 0 5.0 2.0,-186.675 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
42.24499999999989 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 -191.06500000000018 -1.5707963267948966 flow_0_0 0 5.0 2.0,75.57499999999993 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_14_0 0 5.0 2.0,175.565 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -275.0 1.5707963267948966 flow_13_0 0 5.0 2.0,-264.445 -1.5 0.0 flow_12_0 0 5.0 2.0,120.01499999999999 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -220.005 1.5707963267948966 flow_10_0 0 5.0 2.0,-264.445 -4.5 0.0 flow_11_0 0 5.0 2.0,-131.125 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -175.565 1.5707963267948966 flow_9_0 0 5.0 2.0,-97.79499999999996 -4.5 0.0 flow_4_0 0 5.0 2.0,-175.565 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 -299.0 1.5707963267948966 flow_15_0 0 5.0 2.0,31.394333333333237 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 -202.17500000000019 -1.5707963267948966 flow_0_0 0 5.0 2.0,64.46499999999992 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-284.0 -4.5 0.0 flow_14_0 0 5.0 2.0,164.455 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -264.445 1.5707963267948966 flow_13_0 0 5.0 2.0,-253.335 -1.5 0.0 flow_12_0 0 5.0 2.0,108.90499999999997 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -208.89499999999999 1.5707963267948966 flow_10_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_11_0 0 5.0 2.0,-120.01499999999999 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -164.455 1.5707963267948966 flow_9_0 0 5.0 2.0,-86.68499999999995 -4.5 0.0 flow_4_0 0 5.0 2.0,-164.455 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 -296.0 1.5707963267948966 flow_15_0 0 5.0 2.0,22.973133333333239 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 -213.2850000000002 -1.5707963267948966 flow_0_0 0 5.0 2.0,53.354999999999908 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_14_0 0 5.0 2.0,153.34500000000004 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -253.335 1.5707963267948966 flow_13_0 0 5.0 2.0,-242.225 -1.5 0.0 flow_12_0 0 5.0 2.0,97.79499999999996 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -197.78500000000003 1.5707963267948966 flow_10_0 0 5.0 2.0,-242.225 -4.5 0.0 flow_11_0 0 5.0 2.0,-108.90499999999997 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -153.34500000000004 1.5707963267948966 flow_9_0 0 5.0 2.0,-75.57499999999993 -4.5 0.0 flow_4_0 0 5.0 2.0,-153.34500000000004 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
